10187;A Fistful of Dollars <small>(Per un pugno di dolla;1967;1986;200000;NULL
10188;A Fool There Was;1915;1782;NULL;NULL
10189;A Force More Powerful;1999;2003;NULL;NULL
10190;A Force of One;1979;2004;NULL;20200000
10191;A Foreign Affair;1948;2020;NULL;NULL
10192;A Forest Romance;1913;2030;NULL;NULL
10193;A Free Soul;1931;2035;NULL;NULL
10194;A Funny Thing Happened on the Way to the Forum;1966;2040;2000000;3000000
10195;A Gathering of Eagles;1963;2059;NULL;NULL
10196;A Geisha;1953;2068;NULL;NULL
10197;A Generation;1955;2071;NULL;NULL
10198;A Girl in Black;1956;2078;NULL;NULL
10199;A Girl in Every Port;1928;2084;NULL;NULL
10200;A Girl Must Live;1939;2089;NULL;NULL
10201;A Good Old Fashioned Orgy;2011;2094;NULL;200227
10202;A Goofy Movie;1995;169;NULL;35348597
10203;A Guide for the Married Man;1967;2124;NULL;NULL
10204;A Guy Named Joe;1943;2152;NULL;NULL
10205;A Guy Thing;2003;2157;20000000;NULL
10206;A Hard Days Night;1964;2040;NULL;NULL
10207;A Hen in the Wind;1948;2181;NULL;NULL
10208;A Hole in the Head;1959;2192;NULL;NULL
10209;A Hundred and One Nights;1995;2204;NULL;NULL
10210;A Hungarian Fairy Tale;1988;2267;NULL;NULL
10211;A Kid in King Arthurs Court ;1995;2272;NULL;NULL
10212;A Kind of Loving;1962;2283;NULL;NULL
10213;A King in New York ;1957;1788;NULL;NULL
10214;A Kiss Before Dying (1956);1956;2310;NULL;NULL
10215;A Kiss Before Dying (1991);1991;2317;27000000;15429177
10216;A Kiss For Cinderella;1925;1808;NULL;NULL
10217;A Knights Tale;2001;2330;65000000;NULL
10218;The Lad from Old Ireland;1910;2343;NULL;NULL
10219;A Last Note;1995;1706;NULL;NULL
10220;A League of Their Own;1992;2367;40000000;132440069
10221;A Letter to Three Wives;1949;1169;NULL;NULL
10222;A Life Less Ordinary;1997;242;NULL;NULL
10223;A Life of Her Own;1950;1443;NULL;NULL
10224;A Lion Is in the Streets;1953;2398;NULL;NULL
10225;A Little Bit of Fluff;1928;2409;NULL;NULL
10226;A Little Madonna;1914;2420;NULL;NULL
10227;A Little Night Music;1977;2427;1500000;NULL
10228;A Little Princess;1995;2437;17000000;10015449
10229;A Little Romance ;1979;2448;NULL;NULL
10230;A Lost Lady;1934;2462;NULL;NULL
10231;A Lot Like Love;2005;2473;30000000;42886719
10232;A Low Down Dirty Shame;1994;2483;NULL;29392418
10233;A Man Apart;2003;2494;36000000;NULL
10234;A Man Called Sarge;1990;2509;NULL;NULL
10235;A Man Escaped;1957;2514;NULL;NULL
10236;A Man for All Seasons;1966;2173;NULL;NULL
10237;A Man of No Importance;1994;2531;NULL;NULL
10238;A Man There Was;1917;2547;NULL;NULL
10239;A Man to Remember;1938;2550;120000;NULL
10240;A Married Woman;1964;2561;NULL;NULL
10241;A Matter of Life and Death (Stairway to Heaven);1946;1052;NULL;NULL
10242;A Medal for Benny;1945;2571;NULL;NULL
10243;A Midnight Clear;1992;2580;NULL;NULL
10244;A Midsummers Night Dream;1909;2590;NULL;NULL
10245;A Midsummer Nights Dream;1935;2600;981000;1229000
10246;A Midsummer Nights Dream;1959;2614;NULL;NULL
10247;A Midsummer Nights Dream;1968;2615;NULL;NULL
10248;A Midsummer Nights Dream;1999;2629;11000000;16071990
10249;A Midsummer Nights Sex Comedy;1982;2643;NULL;NULL
10250;A Mighty Heart;2007;671;16000000;18935657
10251;A Mighty Wind;2003;2665;6000000;18750246
10252;A Million to Juan;1994;2672;NULL;NULL
10253;A Mix-Up in Pedigrees;1913;2;NULL;NULL
10254;A Month by the Lake;1995;2687;NULL;NULL
10255;A Month in the Country;1987;NULL;NULL;NULL
10256;A New Cure for Divorce;1912;2;NULL;NULL
10257;A New Kind of Love;1963;2696;NULL;NULL
10258;A New Leaf;1971;2699;1800000;NULL
10259;A Night at the Opera;2906;1825;NULL;NULL
10260;A Night at the Roxbury;1998;2712;NULL;30331165
10261;A Night Full of Rain;1978;2729;NULL;NULL
10262;A Night in Heaven;1983;1301;NULL;NULL
10263;A Night to Remember;1958;2760;NULL;NULL
10264;A Nightmare on Elm Street;1984;2791;1800000;26319961
10265;A Nightmare on Elm Street;2010;2799;35000000;115664037
10266;A Nightmare on Elm Street Part 2: Freddys Revenge;1985;2806;3000000;30000000
10267;A Nightmare on Elm Street 3: Dream Warriors;1987;2815;4500000;NULL
10268;A Nightmare on Elm Street 4: The Dream Master;1988;289;13000000;49369899
10269;A Nightmare on Elm Street 5: The Dream Child;1989;2836;NULL;NULL
10270;A Page of Madness;1926;2845;NULL;NULL
10271;A Passage to India;1984;2848;NULL;NULL
10272;A Patch of Blue;1965;2854;800000;NULL
10273;A Perfect Couple;1979;954;NULL;NULL
10274;A Perfect Getaway;2009;2878;14000000;22852638
10275;A Perfect Murder;1998;2887;60000000;128038368
10276;A Perfect World ;1993;1987;NULL;NULL
10277;A Personal Journey with Martin Scorsese Through Am;1998;2898;NULL;NULL
10278;A Piece of the Action;1977;2855;NULL;NULL
10279;A Place in the Sun;1951;1791;2295304;NULL
